countryCode,category,id,params,title,playlist,width,height,poster,adNetwork,noCookie
ZA,Music,pRpeEdMmmQ0,start=0,Shakira - Waka Waka (This Time for Africa),FALSE,853,480,hqdefault,TRUE,TRUE
US,Music,2Vv-BfVoq4g,start=0,Ed Sheeran - Perfect (Official Music Video),FALSE,853,480,hqdefault,TRUE,TRUE
US,Music,aJOTlE1K90k,start=0,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),FALSE,853,480,hqdefault,TRUE,TRUE
UK,Music,YQHsXMglC9A,start=0,Adele - Hello (Official Music Video),FALSE,853,480,hqdefault,TRUE,TRUE
UK,Others,nmfRDRNjCnM,start=0,10 crazy announcements from Google I/O,FALSE,853,480,hqdefault,TRUE,TRUE
CH,Travel,kitgsNlUlsY,start=0,Every Month in Switzerland,FALSE,349,620,hqdefault,TRUE,TRUE
UK,Music,17U0pX4mz60,start=0,GIVEON - Heartbreak Anniversary,FALSE,349,620,hqdefault,TRUE,TRUE
US,Music,wOJOv9scjRw,start=0,Ariana Grande singing what doesn’t kill you makes you 💪🏻er❤️😱😱 #arianagrande,FALSE,349,620,hqdefault,TRUE,TRUE
CZ,Travel,4BWgYu9wqzM,start=0,The most romantic city in Europe and it’s not Paris #shorts #travel,FALSE,349,620,hqdefault,TRUE,TRUE
CN,Food,S6RQsTigvD8,start=0,Asian street food,FALSE,349,620,hqdefault,TRUE,TRUE
SG,Food,nOfGJJANNAI,start=24,Sunday breakfast,FALSE,349,620,hqdefault,TRUE,TRUE
